toll_date,toll_hour,toll_10_minute_block,minute_of_hour,hour_of_day,day_of_week_int,day_of_week,toll_week,time_period,vehicle_class,detection_group,detection_region,crz_entries,excluded_roadway_entries
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,Brooklyn Bridge,Brooklyn,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,Hugh L. Carey Tunnel,Brooklyn,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,Manhattan Bridge,Brooklyn,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,Williamsburg Bridge,Brooklyn,2,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,East 60th St,East 60th St,1,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,FDR Drive at 60th St,FDR Drive,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,Holland Tunnel,New Jersey,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,Lincoln Tunnel,New Jersey,4,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,Queens Midtown Tunnel,Queens,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,Queensboro Bridge,Queens,2,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,West 60th St,West 60th St,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,West Side Highway at 60th St,West Side Highway,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:10:00.000,10,0,2,Monday,2025-01-12T00:00:00.000,Overnight,4 - Buses,Brooklyn Bridge,Brooklyn,0,0
